X,Y,objectid,id_1,buff_dist,orig_fid,created_user,created_date,last_edited_user,last_edited_date,cid,st_area_shape_,st_length_shape_
-79.977899874097929,40.447340632302691,94,TS413,40,94,,,SDE,2015-08-11T14:08:43.000Z,577,0,0
-79.997699616122389,40.438042473376541,95,TS362,40,95,,,SDE,2015-08-11T14:08:38.000Z,276,0,0
-79.922927398421024,40.43697398688132,96,TS256,40,96,,,SDE,2015-08-11T14:08:35.000Z,115,0,0
-79.958473654263543,40.448449116069227,97,TS555,40,97,,,SDE,2015-08-11T14:08:42.000Z,525,0,0
-79.927494114423553,40.43102240523482,98,TS510,40,98,,,SDE,2015-08-11T14:08:35.000Z,110,0,0
-79.943728850022154,40.458811704096149,99,TS634,40,99,,,SDE,2015-08-11T14:08:37.000Z,208,0,0
-79.943001802140216,40.444647194684585,100,TS332,40,100,,,SDE,2015-08-11T14:08:36.000Z,148,0,0
-79.9983628279236,40.437063618467484,101,TS24,40,101,,,SDE,2015-08-11T14:08:37.000Z,236,0,0
-79.982281483253033,40.452263605153199,102,TS503,40,102,,,SDE,2015-08-11T14:08:39.000Z,320,0,0
-79.939639859884338,40.456626839313898,103,TS49,40,103,,,SDE,2015-08-11T14:08:37.000Z,209,0,0
-80.003753567637943,40.37787881335025,104,TS441,40,104,,,SDE,2015-08-11T14:08:40.000Z,412,0,0
-79.916115123278558,40.427916327167921,105,TS95,40,105,,,SDE,2015-08-11T14:08:35.000Z,103,0,0
-79.917776410971157,40.444326315710491,106,TS97,40,106,,,SDE,2015-08-11T14:08:34.000Z,47,0,0
-79.945564712713804,40.444550100930364,107,TS633,40,107,,,SDE,2015-08-11T14:08:44.000Z,595,0,0
-80.019968526825579,40.393715856789669,108,TS155,40,108,,,SDE,2015-08-11T14:08:41.000Z,426,0,0
-80.05188717085349,40.462744082080093,109,TS199,40,109,,,SDE,2015-08-11T14:08:41.000Z,455,0,0
-80.002625053672389,40.437403904670951,110,TS354,40,110,,,SDE,2015-08-11T14:08:38.000Z,274,0,0
-79.986447947694202,40.417602309356916,111,TS43,40,111,,,SDE,2015-08-11T14:08:40.000Z,400,0,0
-79.907922202223133,40.461599889488021,112,TS445,40,112,,,SDE,2015-08-11T14:08:34.000Z,54,0,0
-80.034359627508692,40.44019981870035,113,TS478,40,113,,,SDE,2015-08-11T14:08:41.000Z,444,0,0
-80.006632351916565,40.455449362251407,114,TS294,40,114,,,SDE,2015-08-11T14:08:42.000Z,496,0,0
-79.974729812885073,40.427494062229989,115,TS517,40,115,,,SDE,2015-08-11T14:08:40.000Z,391,0,0
-79.933359587714421,40.389795626406475,116,TS381,40,116,,,SDE,2015-08-11T14:08:43.000Z,571,0,0
-80.015573957675883,40.456796953619801,117,TS144,40,117,,,SDE,2015-08-11T14:08:41.000Z,473,0,0
-79.963541201698249,40.426386913096586,118,TS658,40,118,,,SDE,2015-08-11T14:08:43.000Z,574,0,0
-80.012608802179301,40.454334050459643,119,TS464,40,119,,,SDE,2015-08-11T14:08:41.000Z,470,0,0
-80.006775274776587,40.433830573637636,120,TS598,40,120,,,SDE,2015-08-11T14:08:43.000Z,542,0,0
-79.947813789656351,40.462863416070178,121,TS277,40,121,,,SDE,2015-08-11T14:08:39.000Z,342,0,0
-80.017779787025702,40.408448585754819,122,TS192,40,122,,,SDE,2015-08-11T14:08:40.000Z,419,0,0
